Date,Label,News
2008-01-22,1,"zambia: nationwide blackouts mexico hits drug gangs with full fury of war as the alps warm, a snow-deprived ski resort sells for $1 russian prosecutors investigate mikhail kasyanov, opposition leader as alps warm, a snow-deprived ski resort sells for $1 israel allows some supplies into gaza  fred thompson quits republican presidential race iran leader backs parliament in a dispute with ahmadinejad israel allows some supplies into gaza prodi calls for vote of confidence in italy"
2008-01-23,1,
2008-01-24,0,"gaza's suddenly open border with egypt border crossing justice nomination seen as snub to democrats at amateur bullfights in colombia, alcohol and blood flow freely prodi expected to resign as italian prime minister u.s. envoy wants political pact in kenya congo: rebels sign deal to end eastern conflict russian press review: jan 24. u.s. candidates get set for 2 crucial primaries prodi resigns after losing confidence vote"
2008-01-25,1,"egypt attempts to secure border edwards, in his home state, criticizes obama and clinton palestinians hurry to finish their shopping in egypt egypt seeks to halt gaza flow mayor of tehran could become a presidential contender turkey to alter speech law egypt seeks to halt gaza border flow 10 die in mistaken afghan firefight japan: rules for police interrogations"
2008-01-28,1,"the week ahead villeneuve and pollock part yemen's counterterrorism unit in pakistan, gunmen are said to release children they had taken hostage snow ties up trains in china ahead of biggest holiday of the year yemen strikes difficult truce with terrorists china allows u.s. warship to dock in hong kong russian press review: jan. 28 briton opposed by afghans won’t take u.n. post russia bars opposition candidate from march 2 ballot"
2008-01-29,0,"unrest escalates in kenya vengeance reignites kenyan city modest proposals mark bush's state of the union europe offers serbia deal to sway vote before olympic games, china quells dissent bush urges quick action on economy text of the state of the union address gorbachev, rebuking putin, criticizes russian elections snowstorms in china kill at least 24 in greece, female sex victims become recruiters"
2008-01-30,1,"english summary of the winograd commission report kenyan politician assassinated research groups boom in washington edwards exiting presidential race white house shows signs of rethinking troop cuts in iraq head-scarf debate a symbol of turkish paradox would-be peacemaker killed in kenya for many turks, head scarf's return aids religion and democracy mccain defeats romney in florida vote britain: guilty plea in plot to behead soldier"
2008-01-31,1,"hamilton dominates renault launch the aftermath of violence in limuru, kenya one eye on the fish, the other on north korea an ex-president, a big donor and a lucrative uranium deal italian leader calls for temporary government trains start up in southern china china orders relief efforts, but public is still angry australia to apologize to aborigines for past mistreatment for the candidates, california is like a remote love interest jimmy james, p.o.w. plotter of escapes, is dead at 92"
2008-02-01,0,"china accuses online activist of subversion latvia expelling russian diplomat assessing the toll of china's freak snowstorms rebels in chad closing in on capital indonesian chickens, and people, hard hit by bird flu china formally arrests detained activist hu jia dozens killed in baghdad as 2 suicide bombers strike musharraf's trip to europe shadowed by troubles at home talk of independence in a place claimed by 2 nations comrades speak of fallen marine and ties that bind"
2008-02-04,0,"f1 and the french municipal elections in sign of church-state thaw, catholic diocese challenging hanoi court convicts 5 for aiding failed london bombers cold chinese grow angry over lack of preparation questions on party finances highlight britons' doubts about politicians' probity venezuela: unity and divisions kabul police surround home of the former warlord dostum america's mood is much darker as candidates fight for the white house democratic race splits the family fabric with wall breached, gazans flood makeshift border bazaar"
2008-02-05,0,"mccain leads the field, but shuns talk of victory as a japanese island grows less remote, a wildcat grows more endangered sexually transmitted diseases common in australian aborigines, report shows india, shunned by tennis star, reflects on intolerance philippine house votes to oust its speaker marches show disgust with a colombian rebel group a frenzied hunt for 4-year-olds' destinies at debate on the economy, u.s. republicans become kindest of presidential candidates iran launches rocket to commemorate new space center"
2008-02-06,1,"chadians venture out reaction abroad to feb. 5 results challenger to mugabe in zimbabwe sudan: progress for darfur peace force obama stays close in race as republican rivals lag u.s. money for russia is linked to iran nuclear plant maharishi mahesh yogi, beatles' spiritual guru afghan poppy set for another big year, un report warns russian press review: feb.6 india’s school shortage means glut of parental stress"
2008-02-07,0,"good news for mccain? pressure returns in f1 spy scandal president of chad ready to pardon 6 french aid workers citing restrictions, election observers will skip russian presidential contest reversal in moscow over treatment for ex-yukos official chadian president asks for peacekeepers; hints at pardon for french aid workers hundreds of expatriates flee violence in chad  europe spars with serbia over union and kosovo la police officer killed in standoff iran: russia says new rocket raises nuclear ‘suspicions’"
2008-02-08,1,"waging a tiny rebellion via shortwave radio test australia shows graphic images of japanese whaling mccain seen as republican choice two arrested in bhutto assassination in speech, bush to pledge vetoes to slow earmarks senator edward kennedy plans to back obama over clinton gunman in u.s. kills 5 people no quasimodo, he brings music to notre-dame bells"
2008-02-11,1,"twin bombings in baghdad extremists try to close mumbai's open arms bush, breaking campaign silence, offers a nod to mccain (and huckabee) chávez threatens to end oil exports to u.s. in exxon feud u.s. seeks death penalty for 6 in sept. 11 attacks gates endorses pause in iraq troop withdrawals u.s. to seek execution for 9/11 detainees kenya’s middle class feeling sting of violence president of east timor wounded in rebel attack kenya's middle class feeling sting of violence"
2008-02-12,1,"australian prime minister asks parliament to approve apology to aborigines hurdles seen for 9/11 death penalty case taliban commander is captured israeli casts doubt on pact this year russia forgives iraq billions in debt $89 million needed in southern floods chad’s leader survives, but dissidents’ peril grows big art theft in zurich raises fears for smaller museums mayor gets tough on london's 'chelsea tractors' gates endorses pause in iraq troop withdrawals"
2008-02-13,0,"hezbollah chief killed in bombing warding off evil spirits, but not toll of affluence obama and mccain sweep 3 primaries france: sarkozy’s son not a candidate making a case for a pause in troop cutbacks in iraq rudd apologizes to australia's aborigines u.s. veterans face more stress and slow care russian press review: feb.13 pakistan army pulls back from civilian role"
2008-02-14,1,"two gatherings in beirut separate rallies in lebanon president ahmadinejad of iran to make first visit to iraq in march in tribal pakistan, religious parties are foundering before bin laden, one of world’s most feared men u.s. senate votes to ban waterboarding and other harsh interrogation methods east timor, shaken by attack on leaders, weighs causes strike disrupts greece as workers seek to protect their pensions bush assails mugabe on eve of africa trip putin vows to keep power in russia"
2008-02-15,0,"voices on musharraf marriage beyond reach violence segregates kenya eco-anxiety replaces dishpan hands for 'green moms' as kenyan rivals haggle, a mother mourns at 2 graves gunman kills at least 5 at u.s. college china denies justice department’s accusations of espionage signs in kenya of a land redrawn by ethnicity china rejects darfur criticism"
2008-02-19,1,"reaction in cuba and miami in turkey, is tension about religion? class rivalry? or both? fidel castro resigns as president rice, in nairobi, offers incentives to end violence kennedy assassination trove opened castro announces resignation as president britain: life sentence in beheading plot russia's dive under polar ice irks american suicide attack kills 36 in afghanistan u.s. web site that posts leaked material ordered shut"
2008-02-20,0,"russian press review: feb.20 u.s. restricts off-base activities of troops in japan victors in pakistan elections to seek dialogue with militants bush seeks commitment from pakistan to fight terrorism castro circle likely to hold power after his resignation natalia bessmertnova, ballerina for the bolshoi ballet, dead at 66 higher education gap in u.s. may slow economic mobility tackling a society’s boundaries, on tv and in a family whose kremlin is it? medvedev's economic plan rocks the boat kenya opposition demands action on power sharing"
2008-02-21,1,"serbs protest kosovo independence surprises in dry f1 testing in spain bush confronts hard questions in ghana pakistan’s victors may lack strength to oust musharraf deadly bomb in mexico was meant for the police cia confirms using british territory for refueling of rendition flights opposition in kenya threatens more protests for mccain, self-confidence on ethics poses its own risk cuba and the world wonder: now what? fraud investigators seek european parliament report on staff pay practices"
2008-02-22,1,taking on local fighters finding a bomb factory argentina's cocaine problem valencia circuit news turkey says it has sent ground troops into iraq security council weighs new sanctions on iran spending by clinton campaign worries supporters italy follows trail of secret south american abductions former concentration camp guard dies u.s. ends protections for wolves in 3 states
2008-02-25,1,"paul frère’s death israel adds border forces ahead of protest in gaza merkel rules out early elections for germany 4 more die in iraqi bombings photo of obama in african garb emerges as clinton renews attacks suicide bomb kills pakistani general 40 killed in blast amid crowd of shiites in iraq a battle of legal briefs rages over ’07 nigerian vote ray wu, biochemist and genetic engineer; douglas fraser, auto workers union president russia assures serbia of its support on kosovo"
2008-02-26,0,"chinese put down roots in bordeaux texas hispanics face a tough choice in primary taliban threatens afghan cellphone companies police said to have assaulted rights lawyer in china max raab, clothier and producer of ""a clockwork orange;"" larry norman, pioneer of christian rock u.s. teens stumped by history survey poll finds a fluid religious life in u.s. u.s. to expand 'eyes and ears' in pakistani tribal areas a humbler bill clinton obama gains broader appeal, new poll finds"
2008-02-27,0,"this is baghdad podcast: examining sadr’s cease-fire ‘not again': fleeing my home welcome: dateline baghdad taking questions: life inside the red zone how to get on the baghdad bureau blogroll who’s who in the baghdad bureau terror suspect escapes in singapore debate no. 20 shared stage with a satire binding emissions treaty still a possibility, u.s. says"
2008-02-28,0,"kenya rivals sign power-sharing deal audio & photos: at night, the band of brothers splits up to reflect freedom to speak is 'extensive' in china, foreign minister asserts mendelssohn for two parts (of the world) power-sharing agreement is reached in kenya as obama builds lead, bush and mccain attack nissan-renault alliance still going strong, ghosn says violence escalates between israel and gaza militants dmitri medvedev, in his own words"
2008-02-29,1,kenya's tourism industry in shambles prince harry in afghanistan promises of better security in diyala’s countryside china to reconsider one-child limit cuba signs 2 human rights treaties iraqi leaders say 'chemical ali' will be executed obama cutting into clinton's edge among superdelegates thousands in philippines call for arroyo to resign iraq clears execution of ‘chemical ali’
2008-03-03,0,"taking back a qaeda stronghold israel pulls out of gaza un chief wants council to lay off human rights commissioner gaza pitfalls in every path u.s. base in afghanistan attacked ahmadinejad, in iraq, chides bush on iran criticism russian press review: feb.3 as iranian leader spends 2d day in iraq, attacks kill at least 17 medvedev wins russian presidential vote, but is he in charge? olympics and taiwan top chinese agenda"
2008-03-04,1,returning to basra u.s. pulls the plug on europeans who want to visit cuba violence leaves young iraqis doubting clerics acclaimed memoir proves a fake colombia says rebel group sought to make 'dirty bomb' afghanistan: taliban destroy cell towers democrats in intense battle before big vote crucial day could decide fates of obama and clinton european powers drop bid to push resolution against iran france: court tells web site to stop grading teachers
2008-03-05,0,"moving to baghdad era ends in n. ireland as paisley says he'll retire chávez uses colombia-ecuador dispute to denounce u.s. influence bush calls for action on ethanol's effect on food prices suicide bombings kill 4 in pakistan mccain sweeps 4 primaries as rival concedes ballot shortages plague ohio primary amid unusually heavy voter turnout in ohio and texas, voters say, not yet musharraf faces revitalized opposition pondering marriage and semantics for gay californians"
2008-03-06,0,
2008-03-07,0,"f1 season preview funerals in jerusalem q&a: answers about baghdad’s red zone republican party lead in fund-raising mexico’s congress passes overhaul of justice laws funeral held for victims of baghdad bombings belarus tells u.s. ambassador to leave country spain: election prospects thai charges may precede extradition of arms suspect obama aide calls clinton 'a monster,' then resigns"
2008-03-10,1,"healing amenah death and more death. why? your questions for iraqis china plans to keep one-child policy at least 10 more years ministers want more done about warming sri lankans warily vote in eastern city of batticaloa marriage in montana, no bride or groom needed governor eliot spitzer of new york is linked to prostitution ring bush hopes cheney visit to mideast will rein in oil prices"
2008-03-11,0,"in kurdistan, brisk business in blast walls united states: cuomo and spitzer aides say they expect spitzer to resign house steers its own path on wiretaps new rocket attack aimed at israeli city new york governor linked to prostitution ring inquiry croatian general's war crimes trial begins at the hague obama rejects suggestion that he lower his sights two suicide bombs kill 24 in pakistan arms ruling overturned by dutch"
2008-03-12,1,"lampooning gunmen, carefully paddock talk begins in melbourne politics, and scandal, as usual obama projected as winner in mississippi u.s. drops china from list of top 10 violators of rights woman, left in cell, goes 4 days with no food or water one in four u.s. teenage girls have std's, study finds obama and clinton battle to define 'winner' spitzer resigns as new york governor obama, adding to southern support, wins primary in mississippi"
2008-03-13,0,"podcast: shiite parties at odds in basra boring press conference, telling moment woman at the center of governor's downfall archbishop kidnapped in mosul is found dead u.s. policymakers propose stronger rules for mortgage units ferraro, unapologetic, resigns from clinton campaign after furor barroso warns eu leaders against backing off emissions cuts bank reports sparked investigation of prostitution ring and spitzer wire transfers iraqi troops may move to reclaim basra's port u.s environmental agency tightens smog standards"
2008-03-14,0,"protests in tibet and nepal canada may extend afghan role first impressions: wwii + ‘blade runner’ + vietnam for new york school's dancers, the moves are irish for spitzer, lawyers both formidable and familiar prepare to do battle surgeon held for deaths in australia anti-china protests erupt in tibet u.s. lawmakers vote reject immunity for phone firms involved in eavesdropping turkish prosecutor files motion to shut down governing party spitzer's use of campaign funds now under scrutiny"
2008-03-17,1,"progress is cited again in a baghdad market pakistani parliament opens, setting up showdown with musharraf david paterson is sworn in as governor of new york dalai lama assails curbs on protest in tibet divisions in bush administration reflect complications of gun rights case u.s. gun case causes bush administration rift families sue chiquita in deaths of 5 men tibetan exiles in india join in protests obama camp caught up in minister's controversial remarks olmert says israel will continue building in west bank and jerusalem"
2008-03-18,0,"in a photographer’s memory, images of the dead hope in a concert hall, and later, anger and dread in the streets the hangings of a girl and a dictator, and what happened in between baghdad, april 9, 2003: fear, euphoria and hints of things to come from 9/11 to fall of baghdad, an ex-marine explains what it means to him dalai lama threatens to resign q&a: answers from iraqis lewis on heikki chinese policies led slowly to backlash in tibet anniversary highlights iraq war's role in campaign"
2008-03-19,1,"missing ‘the big story,’ but not the story from another time, another country home cooking, far from home diary notes from  the invasion: sandstorms, bodies and burning tanks hounded by iraqi musclemen, a journalist awaited his own liberation on the trail of the rebuilding story, littered with broken parts british media apologize to mccanns iraq council withdraws objection over elections law failure of new peace talks would be 'devastating,' president of cyprus says a mccain stumble in political stagecraft"
2008-03-20,1,"photographer's journal: the war in iraq mclaren breakdown on the way to ball when the resistance was fading a raid, and unintended consequences from then to now: optimism glints amid shades of gray in mosul, new test of iraqi army u.s. justices detail opposition to racial bias in jury selection in tibetan areas, parallel worlds now collide outrage over cartoons still trying for danes bin laden warns europe on prophet cartoons"
2008-03-24,1,"different, and not so different 2 divergent mccain moments, rarely mentioned can war dodgers find refuge in canada? bhutan goes to polls to end absolute monarchy detroit mayor charged in scandal as tibetans rioted, the police fled rockets hit green zone in iraq colombia acknowledges that an ecuadorean was killed in raid study finds record education earmarks u.s. to cut staff at its embassy in belarus"
2008-03-25,0,"even in war, not all is war high court overrules bush on death penalty case through disregard and disapproval, 2 koreans devoted to japanese poetry suspense and fear in zimbabwe new clash over tibet deadly, both sides say bush given plan to put off further troop cuts in iraq u.s. death toll in iraq war hits 4,000 mozzarella's reputation takes a hit from trash crisis in naples u.s. diplomats court new pakistani leaders mccain warns against hasty mortgage bailout"
2008-03-26,0,"anxiety near tibet's border video q&a: answers from iraqis, part 2 jean todt’s talk with the press iraqi forces battle shiite militias dozens of protesters sentenced in belarus foreign courts wary of u.s. punitive damages heavy fighting enters 2nd day in iraq; long-term truce threatened china says hundreds have surrendered in unrest italy's trash crisis taints mozzarella's prized reputation many muslims in u.s. turn to home schooling"
2008-03-27,0,"supplier under scrutiny on aging arms for afghans richard widmark, movie star, dies at 93 cheerers and jeerers wait for olympic torch route in san francisco obama urges tighter regulation of mortgage lenders court rejects damage claim against suharto in graft case finding political news online, the young pass it on obama venturing onto clinton territory china says 19-year-old woman confessed to terror plot on plane envoy gets a sober welcome in pakistan thousands in baghdad protest basra assault"
2008-03-28,1,"welcome to t5 somalia on the brink george w. bush speaks about iraq f1 in schools video from malaysia extending china's reach highway 443 russian press review: march 28 for victims of tibet riots, a complex fate former alabama governor sees politics in his prosecution"
2008-03-31,1,extending china's reach cuba lets its people stay in hotels bush's tour of eastern europe to focus on diplomacy firsthand look at basra shows value of a white flag london's mayoral race offers plenty of bluster and blunder rice wrapping up meetings with israeli and palestinian negotiators musharraf swears in a cabinet of opponents zimbabwe: election outcomes serbia vows to hold elections in serb-dominated parts of kosovo zimbabwe opposition says mugabe lost
2008-04-01,0,"the first day no winner yet in zimbabwe bahrain activities underway my generation bush backs ukraine's bid to join nato mugabe's control of zimbabwe weakens u.s. expats fight their soaring tax burden mugabe is said to consider resigning big plans are slow to bear fruit in new orleans rattled, chinese make olympic security a priority"
2008-04-02,1,"notes from a wednesday in bahrain crossing the highway no winner yet in zimbabwe un body criticizes israel over medical deaths in gaza for some in israel, a bridge too close for comfort sarkozy appeals to farc for hostages' freedom zimbabwe state-run paper predicts a runoff cuba lifts shopping restrictions and offers land for farming bush tells nato to 'maintain its resolve' u.s. gives maine a deadline of wednesday to say it will comply with id law"
2008-04-03,1,"what i remember u.s. house approves $50 billion to fight aids in domestic economic drama, bush is largely offstage venezuela: debilitating distractions u.s. senators reach tentative deal on legislation to aid homeowners china again cues up its propaganda machine anti-china protest targets olympic torch ceremony chinese dissident gets 3½ years for essays u.s. sees planning gaps in iraqis' assault on basra u.s. and czechs agree, but shield hangs over talks with russia"
2008-04-04,1,"reclaiming sudan's abandoned children the abandoned and displaced in kenya seb and seb and sand mccain regrets vote against king holiday mugabe meets with aides to discusses his options u.s. study finds progress in iraq, but fragile security weak economy sours u.s. public's view of future wave of obama support recedes, but he remains in front obama's support softens a bit, poll shows mugabe will fight on, his party says"
2008-04-07,0,protests extinguish olympic flame berlin denies it approved training for libyan police olympic torch extinguished amid heavy protests in paris possible nazi theme of grand prix boss's sex orgy draws calls to quit strategist's departure is a blow to clinton campaign dominant russian party to nominate putin as leader zimbabwe court delays ruling on vote count as opposition leader visits south africa is the food still italian if the chef is a foreigner? times reporter held in zimbabwe jail out on bail
2008-04-08,0,"war in a shiite neighborhood my life as a displaced unrest in kenya as peace plan falters endorsement for mccain turns into a millstone with war in senate spotlight, presidential campaigns converge in washington lobby for colombia trade pact casts a wide net texas takes custody of 400 children after raid on polygamist compound democrats call iraq 'war with no exit strategy' zimbabwe court lets poll case begin zimbabwe opposition complains of orchestrated violence"
2008-04-09,1,"tensions rising in sadr city where time stops nepal's maoists prepare for elections worrying lack of economic growth in italy becomes a campaign issue transcript: the candidates ask questions on iraq hearings rife with political overtones congressional hearing intrudes in sadr city, if power lasts chief justice's return could be political land mine in pakistan hurricane forecaster predicts bad year for atlantic at least 8 killed on eve of landmark election in nepal"
2008-04-10,0,"graven images nepal's new start transcript of the interview foreign policy: 2 camps seek mccain's ear mrs. edwards won't endorse a candidate nepal votes in historic election obama and mccain hint about financing strategies 54 from myanmar perish in airtight truck in thailand 12 iraqis die in fighting in sadr city, and bombs kill 3 americans ugandan rebels delay peace deal"
2008-04-11,0,"my neighborhood sketching a future bush signals no further reduction of troops in iraq texas raid polygamist on sect's temple detailed israeli fire kills 5, including children, in gaza french troops seize somali pirates after hostages are freed new government in pakistan moves to lift media restrictions china assails house resolution on tibet bush defies calls for faster withdrawal of iraq troops landmark film opens indian eyes to life in pakistan"
2008-04-14,1,pride on the line keep reporting? or stop? making shoes in baghdad 4 killed as kenyan police and gang members clash next round of democratic debates: feisty or congenial? iraq spending by u.s. raises talk of alternatives sarkozy and the embarrassment quotient dispirited u.s. catholics hope pope acknowledges pain malaysian prime minister plans to run again for top party post politicus: lack of iran strategy makes 2009 look risky
2008-04-15,1,"where the tigers roam walking toward the dead pride on the line fatal dc-9 crash in congo pakistan and india reroute olympic torch relay eugene ehrlich, lexicographer, dies two bombs kill dozens in iraq italy: berlusconi landslide zimbabwe court refuses to release vote results"
2008-04-16,1,"china demands cnn apologize for commentary super aguri sale off tibetans in india mobilize for torch indian tigers reign as people are coaxed out jury convicts former newark mayor of fraud ex-mayor is convicted of fraud in new jersey u.s. supreme court ruling clears way for resumption of executions despite her popularity, merkel has ceased to set the agenda bus crash kills 44 children in india germany to press eu over iraqi christian refugees"
2008-04-17,1,"cracking down on illegal logging haiti's hunger pains tibetan reporter and performer held a bloody day of fighting in gaza bush climate plan under fire small bomb explodes in northern spain looking past bush, u.k.'s brown meets with u.s. presidential candidates striving for normality, iraq targets seat belt scofflaws clinton attacks sharply in tense debate"
2008-04-18,0,albanian munitions explosion sign language for islamists grieving in baghdad was it the right war? abuse victims warily consider pope's words superdelegates unswayed by clinton's attacks brown calls on u.s. and europe to join forces on big global challenges u.s. erecting wall in sadr city investigator in texas polygamy sect case says under-age girls were impregnated star pianist in europe goes unknown in the u.s.
2008-04-21,0,"the oud friday prayers for the deaf a threat from indy? u.s. pastor sentenced to jail for bringing ammunition to russia ecuador's president purging top military leaders over ties to u.s. intelligence voters end paraguayan party's rule of 62 years pope ends u.s. visit with mass in new york cardinal alfonso lópez trujillo, vatican's voice on family matters, dies at 72 human wave flees violence in zimbabwe talking veterans down from despair"
2008-04-22,1,"iraq briefing recruitment of felons up in u.s. army and marine corps russian-georgian dispute grows over downing of spy drone dissidents in labour party defy brown on taxes and budget defying critics, japanese lawmakers visit war shrine mccain courts black voters in south middle east: satellite television revolution 'chemical ali,' under death sentence, suffers heart attack both democrats look for a defining victory in baghdad, struggle ties security to basic services"
2008-04-23,1,"two friends are buried and a family grieves iraq briefing: in sadr city, afraid and alone a crackdown on russian protestants your questions for iraqi women f1 tv show u.s. defense secretary takes tougher stance on services' responsibilities administrative perk, or abuse of authority? zuma supports idea of unity government in zimbabwe convictions upheld in failed london suicide bomb attempts after victory, clinton says 'tide is turning'"
2008-04-24,1,"iraq briefing: options for iraqi refugees are shrinking return of the f1 motor homes – same old…or not quite iraqi cartoons turkmenistan to drop calendar of former ruler even the wealthiest americans aren't immune from mortgage crisis strikes to widen in denmark fighting taliban with better governance, not just arms groups with iran's backing blamed for baghdad attacks bush meets with jordan's king on middle east peace talks olympic relay ends in australia with little interruption"
2008-04-25,0,"president karzai on the afghan war sunny f1 days in spain costly lesson on how not to build a u.s. navy ship argentine economy minister resigns estonia still wrestling with russian speakers for pinball industry's last player, the game isn't over opposition 'clear victor' in zimbabwe, u.s. says fault-finding between controllers and pilots becomes a problem for the faa georgia steps up its diplomatic push for nato membership police raid headquarters of opposition in zimbabwe"
2008-04-28,0,podcast: sadr city and shiite ties to iran zimbabwe opposition in flight europe's debt to islam given a skeptical look 13 killed in drug traffickers' shootout in mexico austrian man admits to having hidden daughter in cell for 24 years no protests - no surprise - at olympic torch's first relay in north korea tempelhof  apparently doomed by low turnout signs of attacks on opposition rise in zimbabwe apology to australian aborigines inspires pop song muslim educator's dream branded a threat in the u.s.
2008-04-29,0,"what a way to go eu urges russia to show restraint in georgia dispute international court issues warrant for congo militia leader bush defends timing of release of intelligence material on bombed syrian building wright says criticism is attack on black church zimbabwe opposition reunites bo yang, 88, taiwanese essayist western scientists intrigued by photos from iran's nuclear site iranian president's visit will test india cia director says syrian nuclear reactor was nearly operational"
2008-04-30,1,"federal money in health care plan from mccain karzai attack was forecast, intelligence chief says bush says pain from economy defies easy fix against odds, new orleans schools fight back traffic money for new york may benefit other cities after break with ex-pastor, obama tries to move on china jails 30 tibetans for riots transcript: obama's remarks on wright trial opens for former saddam aide afghan raid on suspected assassins"
2008-05-01,1,
2008-05-02,0,the torch in hong kong schools sow seeds of a moderate islam super aguri returns car bomb in eastern baghdad pakistan talks end on positive note brown and labour suffer big blow in british election hong kong greets olympic torch with cheers and controlled protest dalai lama envoys en route to china for talks mosque bombing kills 15 in yemen hong kong media strut independence with olympic coverage
2008-05-05,1,"cyclone nargis devastates myanmar a state of frustration back from syria taiwan's deputy prime minister quits amid embezzlement scandal u.s. government statement on detainee deaths clinton and obama make final push before primaries democrats battle over gas tax as primaries loom a story of holocaust survivors, from a different angle austrian began plans for secret cell in 1978, police say"
2008-05-06,0,"listening to iraq’s musicians super aguri out of the championship death toll from myanmar cyclone rises to 22,500 malaysian blogger charged with sedition turnout heavy in indiana and north carolina for israel's arabs, 60 years of regret irish leader focuses on northern ireland legacy on his last day in office cyclone survivors struggle to fix homes and find supplies from 2 democratic primaries, a range of scenarios in democracy kuwait trusts, but not much"
2008-05-07,1,"myanmar junta allowing little aid after cyclone israel's arabs medvedev sworn in as russian president obama wins big in n. carolina as clinton narrowly wins indiana troops conspicuously absent on yangon's ruined streets european commission sues to force italy to take out the garbage as magnitude of myanmar loss grows, aid arrives transcript: senator obama's remarks in north carolina"
